,id,title,date,comments,shares,dislikes,likes,lost_subs,gained_subs,rpm,cpm,average_view_pct,average_view_time,views,watch_time,subscribers,estimated_revenue,impressions,CTRate,face
37,sCOX5yShmFA,The Best Way to Predict NBA Minutes Played,2018-12-11,7,23,0,85,0,44,4.178,15.083,33.66,0:03:14,3094,167.5168,44,12.899,56877,2.8,0.0
38,scSc6YSanQ0,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,10,20,5,212,0,2,1.947,10.912,75.62,0:00:43,3130,37.4755,2,2.484,59027,1.61,1.0
39,qP0hRF-lGqg,The Problem with Data Science,2020-02-28,13,11,2,137,0,41,5.156,11.63,52.28,0:02:21,3301,129.4233,41,17.01,69013,3.52,1.0
40,2KkrtG5IsHo,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,22,11,1,131,11,27,4.334,9.369,31.86,0:02:58,3352,165.8514,16,14.529,97864,2.12,1.0
41,tv1e22u2COk,My Top 5 Data Science Resources for 2019,2019-01-05,7,11,1,112,1,40,3.645,13.721,32.98,0:01:55,3406,109.5298,39,12.416,50442,4.68,1.0
42,sICJ6a2wX5g,#66DaysOfData - 3 Reasons to Start!,2021-06-18,16,8,5,184,2,6,1.699,7.284,56.83,0:00:30,3443,28.8076,4,2.917,63656,1.9,1.0
43,BlSrorP32WM,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,41,24,1,134,11,18,5.721,10.51,36.31,0:02:59,3543,176.9124,7,20.258,124125,1.57,1.0
44,ITAxTid_1YU,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,45,6,2,193,10,12,3.217,8.312,47.53,0:02:51,3615,172.3023,2,11.628,115355,1.72,1.0
45,rLawTH--l2Y,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,22,12,0,164,4,16,3.715,8.704,28.76,0:04:23,3615,264.8199,12,13.426,104392,2.03,1.0
46,_CS4u9cORwA,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,9,39,2,162,2,65,2.721,11.541,37.81,0:02:50,3673,173.9694,63,9.996,71161,2.63,1.0
47,apf6A3Nstm8,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,18,17,1,157,4,32,5.985,11.522,25.5,0:04:56,3673,302.0791,28,21.971,122141,1.72,1.0
48,742LQ38OioU,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,246,17,5,191,13,26,2.461,5.439,8.49,0:04:56,3711,305.6106,13,9.132,131803,1.33,1.0
49,T7BQJJIGrmc,Data Science: Pros and Cons,2019-06-30,12,4,1,177,1,44,4.412,11.644,45.21,0:03:19,3919,217.5296,43,17.27,67929,4.07,1.0
50,f6NPw582FFc,Data Science Explained with ... Cooking?,2020-02-07,24,47,1,258,6,52,4.674,12.583,40.54,0:03:36,3947,236.9106,46,18.412,100002,2.07,0.0
51,cnqTU6eJwH0,The TRUTH About My First Data Science Project,2021-10-08,37,22,1,228,21,33,4.338,9.387,45.1,0:04:05,3966,270.799,12,17.075,87610,2.51,1.0
52,oMdVg6GPODA,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,23,28,1,260,2,40,3.956,10.126,56.53,0:01:48,4027,121.402,38,15.919,91868,3.01,1.0
53,jam0xApfC-U,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,32,23,13,149,4,67,2.979,7.014,24.55,0:03:17,4028,220.7436,63,11.996,302651,0.96,1.0
54,WnB1jsDu900,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,47,24,4,165,24,34,2.327,6.032,29.64,0:03:23,4050,228.4431,10,9.42,124375,1.91,1.0
55,3cDM9Z-fdz4,Golf STATS: Strokes Gained Explained,2019-06-07,6,15,2,108,0,43,7.534,12.833,53.81,0:05:09,4151,356.7836,43,31.192,55090,5.14,1.0
56,B1g_yMKpdwo,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,24,26,2,176,6,31,2.827,7.571,26.48,0:03:42,4227,261.5042,25,11.945,101151,2.39,1.0
57,15c7WD-lKUY,ML Ops: What is it REALLY?,2021-10-22,35,19,1,219,8,21,5.943,13.314,43.53,0:02:41,4252,190.2194,13,25.224,121572,1.83,1.0
58,ZWdyBbgGZBQ,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,14,56,2,214,2,89,5.362,12.367,48.63,0:03:02,4343,220.6,87,23.254,71531,3.58,1.0
59,0jTtHYie3CU,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,37,43,8,267,14,18,4.055,10.288,48.5,0:02:38,4383,192.5779,4,16.549,65130,2.95,0.0
60,TjGFBQC27ng,Business Skills for Data Science: What are they REALLY?,2021-10-18,29,34,4,228,10,31,6.367,13.744,35.84,0:03:52,4413,285.1689,21,28.034,114051,2.01,1.0
61,S_CuB__nsmI,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,209,32,0,178,8,21,7.437,10.958,7.32,0:05:30,4415,405.6021,13,32.826,140501,1.69,1.0
62,UuR3nomI5AE,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,27,17,2,187,5,32,2.454,6.158,22.37,0:03:50,4470,285.8419,27,10.965,111095,2.43,1.0
63,7VcdvSyoxnc,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,23,39,3,183,6,20,10.387,15.257,10.56,0:06:31,4566,496.2556,14,47.428,122641,1.67,1.0
64,nrEJGGxcoTc,Is Your Phone REALLY Listening to You?,2021-07-03,46,69,6,273,15,16,4.367,9.965,50.14,0:02:31,4569,192.1812,1,19.933,136065,1.95,1.0
65,QBIe4nbmZfA,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,19,30,6,175,0,59,4.614,12.228,30.05,0:03:31,4581,268.8326,59,21.129,139883,1.97,1.0
66,q8cEt8gj3zY,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,14,42,2,131,3,60,5.641,13.808,55.4,0:02:27,4722,193.2964,57,26.586,71980,4.32,1.0
67,WKXtTo7lqmA,Data Science Fundamentals: SQL Queries,2020-01-10,15,42,0,168,1,57,3.455,13.185,12.16,0:04:11,4774,333.1141,56,16.489,76962,2.96,1.0
68,EAezvs0eL1s,Data Science Fundamentals: Linear Regression,2019-11-29,20,28,0,140,2,46,4.652,16.891,12.62,0:04:52,4844,393.3973,44,22.508,80902,2.89,1.0
69,omdhf8d53FM,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,25,48,3,202,5,25,2.562,5.981,12.09,0:03:11,4885,259.9246,20,12.511,96627,2.49,1.0
70,fU3DOXjwufg,What is the Future of my Comment Leaderboard Project?,2021-02-26,36,8,1,197,10,102,2.945,10.539,30.32,0:01:43,4912,141.5038,92,14.455,130104,1.02,1.0
71,9D7GzskcyUk,5 Tips for Crushing the Work From Home Life,2020-04-20,18,32,14,200,2,50,9.477,17.417,34.98,0:01:59,4934,164.449,48,46.759,580788,0.51,1.0
72, -zbLpoJVBMI,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,29,39,6,237,20,27,3.611,9.113,39.53,0:02:25,5004,202.1937,7,18.005,132645,1.81,1.0
73,1Ir1NgCuI0Y,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,27,17,3,119,6,19,6.2,12.602,11.92,0:04:24,5011,368.2816,13,31.041,117671,1.78,1.0
74,rdo8YBasqqA,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,50,37,2,248,6,36,3.235,8.081,30.52,0:03:42,5106,316.0491,30,16.516,119577,2.68,1.0
75,tJI-1mHeXoA,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,32,28,13,157,13,21,8.647,19.322,11.83,0:03:00,5483,274.8013,8,47.386,105754,2.95,1.0
76,mR2NCRgtLPE,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,23,74,20,168,10,63,3.635,9.258,18.69,0:02:56,5504,269.5049,53,20.002,157262,2.38,1.0
77,IFceyuL6GZY,How I Became A Data Scientist From a Business Background,2018-11-12,11,33,4,168,0,81,4.419,14.006,38.33,0:03:57,5515,363.4858,81,24.358,58816,5.72,1.0
78,LGEuDWjWQes,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,14,11,3,131,4,116,3.464,12.738,13.73,0:01:54,5642,179.2321,112,19.53,75996,1.67,0.0
79,YbTMIxjk4hI,The YouTube Algorithm EXPLAINED! (Tips from a Data Scientist),2020-08-14,54,79,6,525,10,112,5.741,9.524,39.1,0:03:32,5700,336.7438,102,32.653,110468,2.38,1.0
80,6aaIbd-GpZs,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,173,29,0,223,5,29,5.097,9.661,17.97,0:03:33,5799,343.5796,24,29.56,140871,2.04,0.0
81,ammCGdzSoag,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,22,49,2,191,9,45,5.525,10.555,7.6,0:03:45,5883,368.4759,36,32.398,137560,2.38,1.0
82,iiSZqsQKNX8,#66DaysOfData - What is it? #shorts,2021-06-11,26,30,4,297,2,43,2.968,10.321,68.1,0:00:32,6101,54.2392,41,12.009,97878,2.7,1.0
83,5SjK6YCs4o4,The Data Science Interview: What to Expect,2019-12-30,15,22,1,321,1,59,4.946,15.38,38.45,0:05:40,6185,585.3392,58,30.575,134202,2.71,0.0
84,35g8fCi-kbw,7 Incredible Books That Transformed My Health and My Life,2021-11-12,56,60,1,343,17,40,3.942,9.322,27.05,0:03:34,6192,368.9579,23,24.375,126506,2.29,1.0
85,Uf0dO-pgOrk,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,62,44,4,446,7,56,4.541,10.853,49.06,0:02:50,6282,297.038,49,28.529,141649,2.37,1.0
86,4039x4r-hGE,6 Lessons from #66DaysOfData,2020-11-13,47,46,2,337,11,38,4.445,10.279,32.81,0:02:37,6352,277.268,27,28.224,164727,2.12,1.0
87,s1gD35Z4eUc,Why are APIs Important for Data Science?,2021-07-09,37,38,2,351,7,76,5.662,12.59,52.94,0:02:50,6540,309.6966,69,37.014,164540,2.51,1.0
88,tG_UW_p0UqE,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,19,55,2,385,5,25,1.698,6.764,74.35,0:00:41,6579,76.0888,20,5.974,141902,1.87,1.0
89,UKuK2fXu_dU,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,29,36,5,281,7,29,4.47,11.487,15.53,0:06:05,6692,678.5389,22,29.907,150870,2.13,1.0
90,uic34RTaI-w,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,62,49,0,284,17,49,3.257,11.302,20.87,0:02:50,6776,320.0906,32,22.063,154264,1.17,1.0
91,7JCterBrcvk,Discouraged with Data Science? - Watch THIS video.,2021-05-28,76,58,1,388,24,60,7.307,11.354,33.91,0:03:38,6825,414.003,36,49.835,180455,2.32,0.0
92,GO420aMtHfk,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,33,36,1,239,10,44,4.0,8.997,8.43,0:05:08,6827,584.6419,34,27.292,178253,2.1,1.0
93,Kq9dkZu0bpg,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,213,34,6,248,12,28,4.604,9.501,16.64,0:05:37,6860,642.8602,16,31.575,143539,2.52,1.0
94,Y_SMU701qlA,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,7,45,2,159,1,34,2.883,10.667,26.93,0:02:25,6863,276.7257,33,19.772,53865,4.03,0.0
95,iGUiLWFDWfk,Don't Buy My Course..,2020-08-21,66,11,10,361,17,42,3.83,9.529,27.28,0:02:22,7196,285.2142,25,27.558,104975,4.39,1.0
96,d6FeV8WXPWY,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,39,48,3,464,10,55,4.179,9.26,53.04,0:02:38,7354,323.9475,45,30.709,135694,2.92,1.0
97,74Z3F7i4qcI,5 Sports Analytics Books to Get You Started,2019-12-13,27,51,0,273,0,135,3.81,8.863,36.76,0:02:37,7386,322.7721,135,28.125,112818,4.52,1.0
98,DW55gaQ_Egk,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,27,52,5,332,5,142,3.082,8.865,30.76,0:03:37,7480,452.4784,137,23.044,161974,2.91,1.0
99,KEBVcVwFzaI,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,20,39,2,270,5,94,4.752,9.591,25.1,0:04:02,7705,520.0262,89,36.566,153306,3.4,1.0
100,_rbrdNTpZGo,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,158,23,9,247,10,65,3.222,7.571,27.73,0:02:40,7865,350.1646,55,25.339,130969,3.31,1.0
101,OtqQYqRNDGI,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,56,25,26,380,18,53,2.698,10.302,60.78,0:00:35,8009,79.7725,35,10.292,178890,1.64,1.0
102,sq5TnVJWv6A,Where YOU Should Start With Data Science Projects,2019-02-19,10,30,1,217,0,62,3.419,13.161,23.1,0:01:47,8026,240.4886,62,27.329,96996,3.2,1.0
103,UpaEjBOMNqs,5 Proven Strategies to Break into a Data Science Job,2020-10-02,51,34,2,356,10,48,3.77,10.216,41.39,0:02:18,8168,313.69,38,30.787,126253,2.69,1.0
104,SaWxVk7rDp4,What is a lambda function (python)? #shorts,2021-05-13,24,22,16,540,5,72,2.097,9.237,66.56,0:00:37,8275,85.6748,67,6.943,155550,2.15,1.0
105,1Cf7SdnBncg,My Top 5 Data Science Internship Tips,2019-06-15,9,38,2,387,1,166,4.958,12.892,44.37,0:03:33,8420,500.1532,165,41.664,137556,4.53,1.0
106,yIJrCFXs0rU,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,22,49,3,246,1,63,6.676,15.337,15.42,0:06:39,8633,957.2203,62,57.53,103578,4.41,1.0
107,6tQtwqthUMI,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,40,42,3,492,17,121,4.622,10.8,43.22,0:03:51,8643,555.1777,104,39.915,155638,3.64,1.0
108,8Vxjp2KVHqs,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,31,66,1,371,2,74,3.981,10.698,26.51,0:04:07,8700,598.3585,72,34.626,164410,2.9,1.0
109,WRF_dKZ_i24,Sh*t Data Scientists Say (Parody),2020-10-05,69,47,6,568,11,20,2.376,6.882,63.66,0:01:21,8724,197.4765,9,20.731,119596,3.75,1.0
110,txR8_jGi0Ls,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,32,52,8,309,53,81,3.204,7.9,26.19,0:03:56,8778,577.311,28,28.109,202969,2.99,1.0
111,KfpOuSH9gDc,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,47,42,11,416,13,47,4.395,11.005,43.38,0:02:43,8832,402.3071,34,38.723,178720,2.89,0.0
112,Ft4GVkQQtgk,Data Science Resume Round-Up With @Tina Huang  - Episode 1,2020-09-28,31,53,2,258,6,50,5.991,13.499,18.64,0:04:34,9054,689.6168,44,54.173,170650,2.66,1.0
113,8nTmuKI2oyA,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,67,77,6,457,9,66,6.795,12.937,38.68,0:03:15,9135,495.671,57,62.009,167823,3.02,1.0
114,YR9Faf1uZDg,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,64,57,14,366,10,87,5.326,9.356,32.4,0:03:00,9268,464.6074,77,49.296,168974,3.04,0.0
115,KU__lDJj5iU,How Data Science Projects Pay Off,2021-05-22,60,49,3,565,19,150,4.805,11.344,43.05,0:02:46,9342,431.1819,131,44.874,175035,3.33,1.0
116,pPfw2fzwNiM,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,48,41,2,260,6,281,5.501,11.858,26.07,0:02:22,9370,369.7456,275,51.333,154187,1.74,1.0
117,q6Lf2yhvluw,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,28,50,0,378,4,99,4.646,11.355,21.91,0:04:02,9384,632.9141,95,43.551,169277,2.93,1.0
118,N97MhZEp2UQ,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,30,70,7,319,6,65,6.853,12.349,16.98,0:08:36,9457,1357.0912,59,64.756,221853,2.4,1.0
119,XGBigjVy2Eo,The Secret Data Scientists Don't Want You to Know,2020-03-16,52,61,5,1079,6,194,4.652,11.833,61.59,0:02:16,9503,360.9566,188,44.203,148629,4.1,1.0
120,akbU9KOo_Qc,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,27,64,1,501,3,132,4.318,14.981,36.25,0:04:03,9669,654.2339,129,41.711,102363,3.88,1.0
121,jf3j0lWmFPU,The 5 Pillars of Success I Live By,2020-09-11,65,40,4,864,15,77,5.275,11.366,41.62,0:04:01,9743,653.236,62,51.398,142171,3.82,1.0
122,vy-R4oUZaC8,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,29,108,2,384,3,174,3.336,10.289,15.99,0:03:52,9757,628.8956,171,32.538,194945,2.9,1.0
123,rEWPqw6rMGI,The Only Data Science Explanation You Need,2022-01-10,62,141,5,722,28,136,5.971,12.045,35.49,0:04:40,10277,801.5549,108,60.498,215491,2.22,1.0
124,DopikusDfk0,Collision Course: Sports Betting + Data Science,2019-12-20,13,41,8,342,2,225,5.403,12.188,42.08,0:02:29,10291,427.0386,223,55.502,124918,5.9,1.0
125,k8YxyrcAXJs,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,54,53,2,481,37,84,4.843,11.484,38.01,0:02:14,10403,389.9063,47,50.319,322856,1.95,1.0
126,4yI3vVe0Jos,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,30,115,4,297,3,132,5.718,15.198,14.56,0:05:03,10430,878.9639,129,59.526,126771,4.68,1.0
127, -pdXWmj9xxU,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,78,80,3,691,10,109,5.07,10.472,31.24,0:04:30,10588,795.7453,99,53.677,185980,3.09,1.0
128,_K6cNdgN3CI,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,24,339,41,174,7,195,6.881,10.711,10.32,0:01:31,10762,273.8722,188,74.043,750450,1.14,1.0
129,lsXWVPzwZPk,Critiquing MY OWN Data Science Resume,2020-07-06,42,50,5,371,7,57,3.548,10.144,28.84,0:03:24,10854,616.5407,50,38.494,152852,3.99,0.0
130,NCyPY-jfb3I,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,48,82,1,426,1,210,4.774,15.916,25.21,0:04:09,11724,812.1108,209,55.926,113730,5.48,0.0
131,o-wsyxWbPOw,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,65,36,12,592,10,78,5.321,12.49,45.08,0:02:46,11808,545.6332,68,62.568,166915,3.32,1.0
132,zGlJ-QndG8E,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,135,49,5,450,13,142,5.161,10.256,27.81,0:03:50,11872,759.2818,129,61.23,170724,3.5,1.0
133,KHAuuOQui2U,What You Need to Know for a Data Science Internship,2020-05-01,26,111,3,798,7,284,4.648,10.56,54.02,0:02:46,12317,571.0671,277,57.149,194197,4.55,1.0
134,IoUWD1h6xUs,A Quick Data Science Project Tip! #SHORTS,2021-06-03,36,60,5,712,3,68,1.608,8.069,58.57,0:00:34,12328,118.3273,65,12.688,154198,2.73,1.0
135,agHKuUoMwvY,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,58,121,2,539,5,152,2.746,10.347,18.97,0:02:14,12427,465.6674,147,34.1,137679,6.18,1.0
136,_0rHU6qAQe0,git for Data Science Made Simple... (Hopefully),2020-10-23,48,76,7,638,14,127,3.879,10.486,38.21,0:02:29,12643,526.0772,113,48.982,184664,3.46,1.0
137,vQGJvmhpq_s,The Plagiarism Problem in Data Science,2020-08-07,71,39,11,631,9,132,3.184,7.453,40.51,0:03:09,12675,666.0547,123,40.357,195384,4.04,1.0
